period radius
8.8849 11.9751
21.7613 2.4699
4.2874 3.7601
4.2989 1.8753
0.9773 0.9901
4.5370 1.5539
13.0608 1.3598
21.8536 1.6464
86.7230 1.3495
1.4198 0.8218
3.4493 1.1160
10.0989 0.9906
5.7918 1.6324
7.4074 3.1093
69.0895 1.4788
10.2738 1.6092
19.9402 3.0587
3.0256 1.4966
5.4220 1.2916
13.3235 1.2900
16.8560 1.9087
32.3123 4.3819
16.5681 2.6761
47.3331 2.2969
10.3812 2.0920
24.5709 2.7101
3.7086 1.4043
13.4472 6.7551
13.1216 2.2370
4.6127 1.8002
15.9069 2.3829
4.9735 2.4941
12.1842 2.1620
26.0205 3.3106
12.4934 2.1165
76.6137 3.4806
14.9110 2.5577
86.7493 2.5755
9.3789 2.4351
17.5437 1.9442
9.2870 2.2933
9.2296 3.2419
60.4584 1.4852
6.3122 2.7618
10.5142 1.3638
217.8383 12.1916
47.1485 2.4466
1.5417 1.5790
12.1240 2.0535
2.5392 1.9893
5.7477 1.8900
4.0958 1.4667
7.5584 1.3088
42.5217 2.8045
9.4767 1.5830
18.8275 2.9488
13.2227 2.4942
3.9245 2.7751
2.2092 0.8274
10.8497 2.9555
2.4337 1.8446
8.7349 2.3978
3.7491 1.8068
2.8950 1.0259
72.9334 2.1493
101.1332 3.5051
12.8348 1.5669
76.0504 1.9414
8.1874 2.1355
25.9341 2.5604
83.4461 2.8206
41.8684 1.3743
4.1150 1.6714
90.1235 9.3514
0.9476 0.7238
3.1993 0.7082
3.3757 2.8071
17.2763 7.4265
1.6783 1.5924
3.5538 1.6463
50.2704 3.6058
14.9797 3.7100
0.4280 0.8003
40.8095 3.6388
82.3319 2.5741
10.5738 2.0567
225.5860 3.0023
1.9201 1.2147
4.8755 0.5279
37.8102 3.7617
0.4877 1.0287
11.0896 2.2751
66.4159 4.0561
78.1001 3.0557
96.8174 2.2142
11.6066 1.9053
2.5048 1.3434
4.0258 1.6221
8.6789 2.3259
2.0087 0.6094
160.0195 4.6681
29.1990 4.5264
55.3290 1.8148
24.3368 1.8469
18.8706 3.0134
3.9168 0.8309
12.3335 3.7037
18.9985 38.8251
4.2444 1.8576
8.1451 3.0808
10.6137 1.8383
29.7273 2.6874
83.2659 1.9990
43.5810 2.3080
147.9736 2.9459
21.8039 1.1974
4.3932 1.5242
7.4061 1.4717
13.2298 1.4067
15.9869 1.5143
7.4261 2.3133
11.3911 2.0193
11.3911 2.0193
12.2183 5.1796
86.6785 9.9858
4.2246 4.1612
1.5930 1.5263
19.2706 7.9687
38.9094 8.2080
4.7656 0.7031
51.5981 8.5984
1.9703 1.9388
5.0582 5.2258
26.0921 1.6325
14.1722 2.6401
4.9203 1.3050
2.7115 3.5192
7.2120 3.7476
120.0033 15.9234
1.9527 2.8882
11.6348 2.1351
33.1982 2.6289
32.5108 2.7409
1.6255 8.9177
18.5526 2.4606
47.0628 4.3005
5.8230 1.5469
110.3784 3.3252
8.3985 2.5249
38.1039 4.2979
0.9283 1.3400
13.1450 1.7660
10.3006 2.4452
16.0882 3.8133
35.6757 3.3589
78.5461 2.9867
1.1670 1.0832
19.6203 14.3028
1.4426 2.3924
24.9933 2.4754
1.3118 1.3935
17.7900 2.6268
49.5675 2.8280
4.7267 1.6399
30.8277 2.6712
8.4830 0.8376
9.6931 2.4358
8.1772 1.1816
34.7633 2.3643
67.9683 2.3049
12.5746 2.0270
14.8624 1.7599
4.1764 1.3819
8.7080 2.2523
160.8521 3.4672
33.0262 3.0606
29.9112 2.6442
453.5417 3.7727
9.0293 2.8028
11.4486 1.3899
6.0025 2.4471
17.3696 1.4719
386.3711 3.0012
7.2982 1.6228
17.5044 2.8168
31.1588 3.1892
76.7327 2.7588
2.3703 1.4427
3.6093 3.6372
4.2415 1.8378
12.5095 1.5557
27.0142 2.0133
24.8546 5.4646
3.9086 1.9363
51.1319 3.1538
138.9449 2.6250
13.7347 2.7094
13.8996 2.6291
3.9760 1.0877
30.2541 2.4366
13.5406 2.7661
1.7323 1.7424
7.0258 1.9958
14.2372 1.3578
184.7736 2.9748
4.3720 0.8824
11.3012 2.2171
27.9431 2.5683
7.3627 2.6948
3.0039 12.8670
2.5093 1.5653
3.0938 1.9822
11.8186 1.9549
30.5395 2.5418
143.2072 8.6596
29.1891 1.8582
60.3250 11.8548
16.2178 3.7047
11.7229 2.0176
5.1949 2.2542
6.6018 1.2683
9.4588 1.6656
53.5292 2.3053
8.1724 3.3219
20.0984 1.6671
62.7842 2.4089
0.4942 1.2805
5.3694 0.6522
1.5947 14.2700
3.4130 5.3039
5.8968 1.0225
10.7290 1.7413
214.8835 2.3046
4.7830 2.2484
4.2426 1.0737
14.1286 2.5580
31.8839 3.4664
48.6479 3.8796
14.5539 3.0219
21.4162 2.6481
4.1958 2.0702
5.5242 1.8963
8.7751 1.6081
28.2673 2.4662
4.7909 2.3650
13.0914 0.7232
20.5059 3.2588
1.8680 0.7285
0.5710 1.4492
9.9664 15.4190
2.4144 0.8237
35.0174 2.3278
24.2204 2.6280
33.1996 2.4802
5.0829 1.1268
6.0555 0.9712
3.9901 9.0743
10.2187 2.1147
15.5736 2.6715
40.1015 2.6579
4.4581 1.4673
9.8426 2.6118
29.6097 2.3428
4.4876 1.5302
112.3027 1.3943
20.0603 2.4136
3.3402 2.4949
46.1844 2.2494
7.8250 1.4772
11.8729 2.2893
210.6320 2.8867
2.8889 1.5073
0.8132 1.0405
1.8037 1.0307
160.8844 7.8866
127.8339 8.2244
12.2095 2.5601
24.8439 1.5511
3.0765 1.5807
6.3194 2.6573
1.2107 0.9382
18.2574 0.8961
10.5068 9.3087
13.0236 2.3072
16.2709 24.4405
17.6997 1.8433
10.4409 2.8109
116.5829 2.3956
28.2276 3.3447
42.3514 3.2202
4.1763 3.0926
28.7827 1.8881
1.9228 1.2564
23.3404 2.4294
79.2447 3.3442
12.7945 2.0353
6.3125 2.5449
14.5915 26.2878
42.3007 2.5319
37.6469 1.8991
17.2812 2.7173
32.1339 2.4493
8.4575 2.4998
10.1040 4.1738
11.6370 2.5795
5.6880 2.4538
115.2413 2.6636
21.8635 2.5860
6.7689 1.3712
6.8008 2.0083
3.8959 10.7849
3.7736 1.4111
8.1818 1.9337
20.6654 0.7291
51.5679 1.2087
1.3406 1.5060
41.7081 3.4066
10.0354 4.6685
4.5393 2.3161
12.7204 5.0888
6.2385 2.7072
4.1679 1.0836
40.3512 2.4190
61.6179 3.0745
6.4110 1.2573
13.8430 2.1817
24.2758 2.4788
1.6169 2.0840
19.3057 2.8089
